NOC,Year,Athletes_Count,Gold_Medcipline,Sport,Code,Sports Governing Body,Events_Count
AFG,1936,3,0,0,0,0,Athletics,Athletics,https://www.rals,Silver_Medals,Bronze_Medals,Total_Medals,Diseuters.com/graphics/OLYMPICS-2024/EXPLAINER/byprqrwmqve/explainers/,29.0
AFG,1936,13,0,0,0,0,Field hockey,Field hockey,HOC,FIH,1.0
AFG,1948,11,0,0,0,0,Football,Football,FBL,FIFA,1.0
AFG,1948,14,0,0,0,0,Field hockey,Field hockey,HOC,FIH,1.0
AFG,1956,12,0,0,0,0,Field hockey,Field hockey,HOC,FIH,1.0
AFG,1960,9,0,0,0,0,Athletics,Athletics,ATH,World Athletics,34.0
AFG,1960,7,0,0,0,0,Greco-Roman,Wrestling,WRG,UWW,8.0
AFG,1964,8,0,0,0,0,Greco-Roman,Wrestling,WRG,UWW,8.0
AFG,1968,5,0,0,0,0,Greco-Roman,Wrestling,WRG,UWW,8.0
AFG,1972,8,0,0,0,0,Greco-Roman,Wrestling,WRG,UWW,10.0
AFG,1980,3,0,0,0,0,Boxing,Boxing,BOX,No body recognised AIBA/IBA[s2],11.0
AFG,1980,8,0,0,0,0,Greco-Roman,Wrestling,WRG,UWW,10.0
AFG,1988,5,0,0,0,0,Greco-Roman,Wrestling,WRG,UWW,10.0
AFG,1996,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,44.0
AFG,2004,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,46.0
AFG,2004,1,0,0,0,0,Boxing,Boxing,BOX,No body recognised AIBA/IBA[s2],11.0
AFG,2004,1,0,0,0,0,Judo,Judo,JUD,IJF,14.0
AFG,2004,1,0,0,0,0,Greco-Roman,Wrestling,WRG,UWW,7.0
AFG,2008,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,47.0
AFG,2008,2,0,0,1,1,Taekwondo,Taekwondo,TKW,World Taekwondo,8.0
AFG,2012,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,47.0
AFG,2012,1,0,0,0,0,Boxing,Boxing,BOX,No body recognised AIBA/IBA[s2],13.0
AFG,2012,1,0,0,0,0,Judo,Judo,JUD,IJF,14.0
AFG,2012,2,0,0,1,1,Taekwondo,Taekwondo,TKW,World Taekwondo,8.0
AFG,2016,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,47.0
AFG,2016,1,0,0,0,0,Judo,Judo,JUD,IJF,14.0
AFG,2020,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,48.0
AFG,2020,1,0,0,0,0,Shooting,Shooting,SHO,ISSF,15.0
AFG,2020,1,0,0,0,0,Swimming,Aquatics,SWM,World Aquatics,35.0
AFG,2020,1,0,0,0,0,Taekwondo,Taekwondo,TKW,World Taekwondo,8.0
AFG,2024,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,48.0
AFG,2024,3,0,0,0,0,Road,Cycling,CRD,UCI,4.0
AFG,2024,1,0,0,0,0,Judo,Judo,JUD,IJF,15.0
AFG,2024,1,0,0,0,0,Swimming,Aquatics,SWM,World Aquatics,35.0
AHO,1952,11,0,0,0,0,Football,Football,FBL,FIFA,1.0
AHO,1960,5,0,0,0,0,Weightlifting,Weightlifting,WLF,IWF,7.0
AHO,1964,1,0,0,0,0,Fencing,Fencing,FEN,FIE,8.0
AHO,1964,3,0,0,0,0,Weightlifting,Weightlifting,WLF,IWF,7.0
AHO,1968,3,0,0,0,0,Fencing,Fencing,FEN,FIE,8.0
AHO,1968,2,0,0,0,0,Weightlifting,Weightlifting,WLF,IWF,7.0
AHO,1972,1,0,0,0,0,Shooting,Shooting,SHO,ISSF,8.0
AHO,1972,1,0,0,0,0,Weightlifting,Weightlifting,WLF,IWF,9.0
AHO,1976,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,37.0
AHO,1976,2,0,0,0,0,Judo,Judo,JUD,IJF,6.0
AHO,1984,4,0,0,0,0,Athletics,Athletics,ATH,World Athletics,41.0
AHO,1984,5,0,0,0,0,Swimming,Aquatics,SWM,World Aquatics,29.0
AHO,1984,4,0,0,0,0,Artistic Swimming,Aquatics,SWA,World Aquatics,2.0
AHO,1988,1,0,1,0,1,Sailing,Sailing,SAL,World Sailing,8.0
AHO,1988,1,0,0,0,0,Shooting,Shooting,SHO,ISSF,13.0
AHO,1988,2,0,0,0,0,Swimming,Aquatics,SWM,World Aquatics,31.0
AHO,1992,1,0,0,0,0,Athletics,Athletics,ATH,World Athletics,43.0
AHO,1992,2,0,0,0,0,Sailing,Sailing,SAL,World Sailing,10.0
AHO,1992,1,0,0,0,0,Shooting,Shooting,SHO,ISSF,13.0
AHO,1996,1,0,0,0,0,Athletics,Athletics,ATH,World Athletics,44.0
AHO,1996,1,0,0,0,0,Judo,Judo,JUD,IJF,14.0
AHO,1996,2,0,0,0,0,Sailing,Sailing,SAL,World Sailing,10.0
AHO,1996,2,0,0,0,0,Shooting,Shooting,SHO,ISSF,15.0
AHO,1996,1,0,0,0,0,Swimming,Aquatics,SWM,World Aquatics,32.0
AHO,2000,2,0,0,0,0,Athletics,Athletics,ATH,World Athletics,46.0
AHO,2000,1,0,0,0,0,Dressage,Equestrian,EDR,FEI,2.0
AHO,2000,1,0,0,0,0,Sailing,Sailing,SAL,World Sailing,11.0
